Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,FALSE,"['Animation', 'Action', 'Fantasy', 'Adventure']",0,290.511,8.5,641,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",,29900850,12/20/2019,104,ja
,,,,,,,,,,,,
Chemical Hearts,FALSE,"['Drama', 'Romance']",0,288.8,7.6,743,"When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",Fall in love. Fall apart.,0,8/21/2020,93,en
,,,,,,,,,,,,
The Unfamiliar,FALSE,"['Thriller', 'Horror']",0,288.34,6.1,49,"A British Army doctor comes back from a war, thinking that she has PTSD only to discover that there is a more daunting malevolence at work making the life that she knew unfamiliar.",Some fears haunt you from within.,0,8/21/2020,89,en
,,,,,,,,,,,,
Roald Dahl's The Witches,FALSE,"['Family', 'Fantasy', 'Adventure', 'Comedy', 'Horror']",0,286.738,6.7,1390,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",They're real!,0,10/25/2020,106,en
,,,,,,,,,,,,
Kağıttan Hayatlar,FALSE,['Drama'],0,284.308,8.7,46,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",,0,3/12/2021,96,tr
,,,,,,,,,,,,
Code 8,FALSE,"['Science Fiction', 'Action', 'Crime', 'Thriller', 'Drama']",0,283.959,6.2,1109,"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",Fear is the most dangerous power,157209,12/6/2019,99,en
,,,,,,,,,,,,
Avengers: Endgame,FALSE,"['Adventure', 'Science Fiction', 'Action']",356000000,280.469,8.3,17466,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Part of the journey is the end.,2797800564,4/24/2019,181,en
,,,,,,,,,,,,
Jumanji: The Next Level,FALSE,"['Adventure', 'Comedy', 'Fantasy']",125000000,264.99,7,5592,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",,796575993,12/4/2019,123,en
,,,,,,,,,,,,
BIA: Un Mundo al Revés,FALSE,"['Comedy', 'Drama', 'Family']",0,261.915,8.2,71,"In this alternate world, Bia and Manuel will have a tempestuous relationship. Pixie, the hateful and stunning owner of Laix, decides to buy the Fundom. The great conflict erupts when Pixie announces a concert. This will have Bia and Helena, who in this upside down universe are divas and rivals, fighting to be the headliner in the final show.",,0,2/19/2021,0,es
,,,,,,,,,,,,
劇場版 NARUTO -ナルト- 疾風伝,FALSE,"['Family', 'Action', 'Animation', 'Adventure', 'Fantasy']",29000000,261.741,7.1,288,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",,0,8/4/2007,94,ja
,,,,,,,,,,,,
Mulan,FALSE,"['Adventure', 'Fantasy']",200000000,254.078,7.1,4470,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",,57000000,9/4/2020,115,en
,,,,,,,,,,,,
Venom,FALSE,"['Science Fiction', 'Action']",116000000,250.222,6.8,10482,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",The world has enough Superheroes.,855013954,9/28/2018,112,en
,,,,,,,,,,,,
Batman: Soul of the Dragon,FALSE,"['Animation', 'Action', 'Adventure', 'Crime', 'Fantasy']",0,239.694,7.1,111,"Bruce Wayne faces a deadly menace from his past, with the help of three former classmates: world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva.",Get ready for the ultimate showdown.,0,1/12/2021,83,en
,,,,,,,,,,,,
Spider-Man: Far from Home,FALSE,"['Action', 'Adventure', 'Science Fiction']",160000000,239.396,7.5,9423,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",It’s time to step up.,1131927996,6/28/2019,129,en
,,,,,,,,,,,,
La Funeraria,FALSE,"['Horror', 'Comedy']",0,239.106,5.9,11,"Bernardo is an undertaker. He runs his mortuary business in the same house where he resides. In the front, he has his clients. And in the back, his dysfunctional family lives amongst coffins, wreaths, and the mischievous but nonviolent ghosts that visit on a daily basis. But when a malevolent entity enters the scene, it wreaks havoc on the already fractured household.",Dare you visit?,0,8/20/2020,86,es
,,,,,,,,,,,,
Host,FALSE,"['Horror', 'Mystery']",0,238.733,6.7,209,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night.",Someone new has joined the meeting.,26745,12/4/2020,56,en
,,,,,,,,,,,,
Locked Down,FALSE,"['Comedy', 'Crime', 'Drama']",10000000,237.643,5.2,17,"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.",Some people unravel faster than others.,0,2/25/2021,118,en
,,,,,,,,,,,,
El camino de Xico,FALSE,"['Animation', 'Family']",0,233.984,7.1,52,"The peace of a small town is endangered when a corporation wants to destroy the mountain that protects them. A girl named Copi and her best friend Xico, a Xoloitzcuintle dog, will go into the mountains to try to save the town.",,0,11/12/2020,85,es
,,,,,,,,,,,,
Underwater,FALSE,"['Action', 'Horror', 'Science Fiction', 'Thriller']",80000000,230.693,6.3,1970,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",7 miles below the ocean surface something has awakened,40882928,1/8/2020,95,en
,,,,,,,,,,,,
Terminator: Dark Fate,FALSE,"['Action', 'Adventure', 'Science Fiction']",185000000,225.967,6.6,3335,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",Welcome to the day after judgement day,261119292,10/23/2019,128,en
,,,,,,,,,,,,
Moxie,FALSE,"['Comedy', 'Drama', 'Music']",0,225.432,7.5,267,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",Find your voice.,0,3/3/2021,111,en
,,,,,,,,,,,,
