Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage,ProductionCompany,ProductionCountry,SpokenLanguage
Mission: Impossible 8,False,"['Action', 'Adventure', 'Thriller']",0,19.238,0.0,0,,,0,2022-11-02,0,en,"[['Paramount', 'US'], ['Skydance Media', 'US']]",['US'],['en']
The Flash,False,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",0,85.223,0.0,0,"The Flash travels back in time to prevent the murder of his mother, an act which disrupts time significantly.",,0,2022-11-03,0,en,"[['DC Comics', 'US'], ['DC Entertainment', 'US'], ['Warner Bros. Pictures', 'US'], ['DC Films', 'US']]",['US'],['en']
Lacrimosa,False,"['Science Fiction', 'Drama']",0,1.774,0.0,0,"With a global pandemic turning the world upside down, a man and his young son try to fend off the apocalyptic problems while fighting for survival.",,0,2022-10-31,0,en,"[['Pine Barrens Pictures', '']]",[],[]
Bratři,False,[],0,0.879,0.0,0,,,0,2022-10-27,0,cs,"[['FilmBrigade', 'CZ']]",['CZ'],['cs']
Empire of Light,False,['Romance'],0,0.785,0.0,0,"A love story set in and around an old cinema, on the South Coast of England in the 1980s.",,0,2022-10-26,0,en,"[['Searchlight Pictures', 'US'], ['Neal Street Productions', 'GB']]",[],['en']
Spider-Man: Genesis,False,"['Adventure', 'Drama', 'Animation', 'Science Fiction']",3000,36.372,0.0,0,"Taking place 6 months after Ben's death, we follow seventeen-year-old Peter Parker, as he tries to reconcile with his distant Aunt May around the time of Ben's birthday. Meanwhile, a bank robber by the name of Vulture interrupts Peter's reconciliation, as Peter has to choose whether or not to be the spider or be the man.",Loss. Family. Forgiveness.,0,2022-10-21,65,en,"[['Nxasana Pictures', '']]",['US'],[]
Untitled Nickelodeon Movies Project (3),False,[],0,0.991,0.0,0,,,0,2022-10-21,0,ru,"[['Nickelodeon Movies', 'US']]",[],[]
Life Sucks,False,"['Horror', 'Comedy']",1000,0.875,0.0,0,Like Sucking,it does...,0,2022-10-20,154,en,[],['US'],['en']
Life Sucks,False,"['Horror', 'Comedy']",1000,0.875,0.0,0,Like Sucking,it does...,0,2022-10-20,154,en,[],['US'],[]
Halloween Ends,False,"['Horror', 'Thriller']",0,9.661,0.0,0,The third film in Blumhouse's 'Halloween' series. The saga of Michael Myers and Laurie Strode ends.,,0,2022-10-13,0,en,"[['Universal Pictures', 'US'], ['Blumhouse Productions', 'US'], ['Miramax', 'US'], ['Rough House Pictures', 'US'], ['Trancas International Films', 'US']]",['US'],['en']
Untitled Blumhouse Productions Project (II),False,['Horror'],0,0.6,0.0,0,Plot unknown.,,0,2022-10-14,,en,"[['Universal Pictures', 'US'], ['Blumhouse Productions', 'US']]",['US'],['en']
Spider-Man: Into the Spider-Verse 2,False,"['Animation', 'Action', 'Science Fiction', 'Comedy', 'Adventure']",0,50.568,0.0,0,The continuing story of Miles Morales and the many other Spider-People from different realities.,,0,2022-10-06,0,en,"[['Columbia Pictures', 'US'], ['Sony Pictures Animation', 'US'], ['Marvel Entertainment', 'US'], ['Lord Miller', 'US'], ['Sony Pictures', 'US'], ['Pascal Pictures', 'US'], ['Arad Productions', 'US']]",['US'],['en']
Puss in Boots: The Last Wish,False,"['Comedy', 'Animation', 'Family']",0,3.867,0.0,0,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",,0,2022-09-23,0,en,[],[],['en']
Persona,False,"['Thriller', 'Romance']",0,1.671,0.0,0,"A Man forms a passionate and sensual relationship with a woman in his dreams, upon waking up he must deceive his surreal hallucinations and Insomnia to find a way to re-unite with her again.",Have you ever missed someone you haven't met yet?,0,2022-10-06,75,en,"[['FILOMINATI', '']]",[],"['en', 'fr']"
Payne & Redemption,False,"['Crime', 'Drama', 'Horror', 'Thriller']",140000,6.168,0.0,0,"The story of ""Payne & Redemption"" surrounds the psychological trauma endured by the film's main character, a weathered New York Detective, and his journey to seek redemption, after having to deal with a long line of traumatic incidents that have occurred in his recent life.",No Cop. A Full Clip. And A Whole Lotta Painkillers.,0,2022-10-04,120,en,"[['Cinebug Cinema', '']]",['GB'],['en']
फाइटर,False,['Thriller'],0,1.4,0.0,0,Upcoming Indian movie...,,0,2022-09-30,0,hi,"[['Marflix', '']]",['IN'],['hi']
Love at Teenage,False,['Drama'],0,1.463,0.0,0,Love at Teenage is romantic Kannada drama film based on the teenage love story.,Preeti Joteyali,0,2022-09-24,2,en,"[['Jayankar Productions', '']]",['IN'],['kn']
Wicked Game,False,"['Action', 'Romance', 'Thriller']",0,1.381,0.0,0,"An electrifying thrill-ride is unfolding with propulsive energy, unexpected twists and breathtaking action.",,0,2022-09-22,0,en,"[['87Eleven', 'US'], ['Dini Blake Media', ''], ['Skydance Media', 'US'], ['Universal Pictures', 'US']]","['AU', 'US']","['en', 'fr', 'de', 'it', 'es']"
Dark Harvest,False,['Horror'],0,6.967,0.0,0,The feature adaptation of acclaimed horror novel.,,0,2022-09-22,0,en,"[['Matt Tolmach Productions', 'US'], ['Metro-Goldwyn-Mayer', 'US']]",['US'],['en']
Session,False,"['Horror', 'Drama', 'Thriller']",5000,0.6,0.0,0,"Session is a film about a man named David, suffering from PTSD, Depression, and Dissociative Amnesia. When his therapist suggests a form of hypnotherapy to dig up what exactly is causing such stress in his life, his life and view of himself is changed forever.",I feel like I'm going to end my life.,0,2022-09-16,70,en,[],[],[]
Wolf Creek 3,False,"['Horror', 'Thriller']",30,3.766,0.0,0,"Mick Taylor, the infamous killer, is once again hunting for tourists. This time the whole thing is a little more difficult because he himself is the victim of an assassination attempt and in the last part is chased by a young camper named Mason Enqvist who lost his brother a few months ago. His bigger brother Rutger Enqvist was murdered by Mick Taylor on an outing with his girlfriend, so he decided to take revenge.",,0,2022-09-08,105,en,"[['Lionsgate [de]', ''], ['Universum International Media Networks', ''], ['GBC Production', '']]",['AU'],['en']
K3 Dromen Show,False,[],0,1.464,0.0,0,,,0,2022-09-04,0,nl,[],[],['nl']
Bros,False,"['Comedy', 'Romance']",0,6.503,0.0,0,Two men with commitment problems attempt a relationship.,,0,2022-08-12,0,en,"[['Universal Pictures', 'US'], ['Apatow Productions', 'US']]",['US'],['en']
Indiana Jones 5,False,"['Action', 'Adventure']",0,10.246,0.0,0,Fifth and final movie in the Indiana Jones franchise.,,0,2022-07-27,0,en,"[['Lucasfilm Ltd.', 'US'], ['Paramount', 'US'], ['Amblin Entertainment', 'US']]",['US'],['en']
GIRLIEN - DIMENSIONS GUARDIAN,False,['Science Fiction'],0,1.4,0.0,0,Don't mess with her!,Don't mess with her!,0,2022-08-19,100,en,"[['DAWN', ''], ['digital frame', '']]",['US'],['en']
Untitled Nickelodeon Movies Project,False,[],0,1.21,0.0,0,,,0,2022-08-12,0,ru,"[['Nickelodeon Movies', 'US']]",[],[]
Adipurush,False,['Drama'],0,1.173,0.0,0,Adipurush is a big-screen adaptation of an Indian epic that revolves around the triumph of good over evil.,Celebrating Victory Of Goood Over Evil,0,2022-08-11,0,te,"[['Retrophiles', ''], ['T-Series', 'IN']]",['IN'],"['hi', 'te']"
